,participant.code,decision_tuple,payoff_tuple,timeout_tuple,player.prolific_id,player.id_in_group,group.delta_value,opponent,group.id_in_subsession,session.code,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate
2147,7matabga,"[[1, 0], [1, 1], [1, 0], [1, 0], [0, 1], [1, 0], [0, 0], [1, 1], [1, 1], [0, 0], [1, 0], [0, 0], [1, 1], [0, 0], [1, 1], [1, 0], [0, 0], [1, 1], [1, 0], [0, 0], [1, 0], [1, 0]]","[[9.0, 24.0], [17.0, 17.0], [9.0, 24.0], [9.0, 24.0], [24.0, 9.0], [9.0, 24.0], [11.0, 11.0], [17.0, 17.0], [17.0, 17.0], [11.0, 11.0], [9.0, 24.0], [11.0, 11.0], [17.0, 17.0], [11.0, 11.0], [17.0, 17.0], [9.0, 24.0], [11.0, 11.0], [17.0, 17.0], [9.0, 24.0], [11.0, 11.0], [9.0, 24.0], [9.0, 24.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0]]",6838a2a4eaa66aed14bb7255,1,0.95,ir6xvl5a,33,4u0au75h,24.0,9.0,11.0,17.0
2148,7mbaf7xw,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[[18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0], [18.0, 18.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",5f4032479b2b92152488188a,1,0.85,bxralh4r,83,gnnd2jq9,25.0,4.0,9.0,18.0
2149,7mfll1c5,"[[1, 0], [0, 0], [0, 0], [1, 0], [0, 0]]","[[6.0, 23.0], [14.0, 14.0], [14.0, 14.0], [6.0, 23.0], [14.0, 14.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",643adb4a213b87bfc7e21e3f,2,0.75,x9m2c8da,12,qzo70hky,23.0,6.0,14.0,18.0
2150,7mkf2a1h,"[[1, 0], [1, 0], [1, 1], [0, 0], [1, 0], [1, 0]]","[[3.0, 23.0], [3.0, 23.0], [16.0, 16.0], [9.0, 9.0], [3.0, 23.0], [3.0, 23.0]]","[[0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1]]",67e1337bec18c2fb0e19ec35,2,0.7,ypen4hrt,29,nhmkhano,23.0,3.0,9.0,16.0
2151,7mmaprto,"[[0, 1], [0, 0], [0, 0], [0, 1], [0, 0]]","[[24.0, 2.0], [13.0, 13.0], [13.0, 13.0], [24.0, 2.0], [13.0, 13.0]]","[[0, 1], [0, 1], [0, 1], [0, 1], [0, 1]]",682a3cbd109d2cd73470d3d1,2,0.65,iqozeaf2,84,hiqqrpb3,24.0,2.0,13.0,14.0
2152,7mr4njhr,"[[1, 1], [1, 1], [1, 1]]","[[13.0, 13.0], [13.0, 13.0], [13.0, 13.0]]","[[0, 0], [0, 0], [0, 0]]",60fef46ad3fef7593e28ead4,2,0.55,7ec3oawe,4,mhrqxct8,20.0,2.0,9.0,13.0
2153,7ms89evg,"[[1, 0], [0, 0], [0, 0]]","[[2.0, 23.0], [13.0, 13.0], [13.0, 13.0]]","[[0, 0], [0, 0], [0, 0]]",609551c1ade88f8463666fb8,1,0.75,6cmxn1pz,54,xpdm6lij,23.0,2.0,13.0,15.0
2154,7msmoa2z,"[[0, 0]]","[[6.0, 6.0]]","[[0, 1]]",668be3569c8302d25a69bcaa,2,0.7,1xrx37ql,9,ssgni3in,15.0,1.0,6.0,9.0
2155,7mvf4da9,"[[1, 1]]","[[21.0, 21.0]]","[[1, 0]]",682ab9cefdee7428e7b348b1,2,0.75,1c9dn601,77,x7xmwjlv,25.0,15.0,17.0,21.0
2156,7mzvi3w7,"[[1, 0]]","[[1.0, 20.0]]","[[0, 0]]",668da7af663ab1735c5a279f,1,0.5,caovdl2w,29,xpdm6lij,20.0,1.0,3.0,12.0
2157,7n06ojub,"[[1, 1], [1, 1], [1, 1]]","[[13.0, 13.0], [13.0, 13.0], [13.0, 13.0]]","[[0, 0], [0, 0], [0, 0]]",6519ce2a3291465da90a7b62,2,0.6,5wi35rdq,4,f4d843rc,14.0,9.0,10.0,13.0
2158,7n2w9xkd,"[[1, 1], [0, 1]]","[[20.0, 20.0], [22.0, 13.0]]","[[0, 0], [0, 1]]",68372c4d5dcc682f34ebcf3e,2,0.7,hw9geenm,94,x5r4bgni,22.0,13.0,19.0,20.0
2159,7n4lumnx,"[[1, 1], [1, 1], [1, 0], [1, 1]]","[[24.0, 24.0], [24.0, 24.0], [17.0, 25.0], [24.0, 24.0]]","[[0, 0], [0, 0], [0, 0], [0, 0]]",66c7adc45a77680b4053f8e2,2,0.8,ov417fm5,64,rt1ziah7,25.0,17.0,23.0,24.0
2160,7n5zkq9j,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[[19.0, 19.0], [19.0, 19.0], [19.0, 19.0], [19.0, 19.0], [19.0, 19.0], [19.0, 19.0], [19.0, 19.0], [19.0, 19.0], [19.0, 19.0], [19.0, 19.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",66e747a6da786d31c2308163,2,0.65,k01jxyrm,50,tyc6us2m,25.0,7.0,11.0,19.0
2161,7n6v0xyl,"[[1, 0], [0, 0], [0, 1], [1, 0], [0, 0], [1, 0], [0, 0], [1, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1]]","[[1.0, 13.0], [2.0, 2.0], [13.0, 1.0], [1.0, 13.0], [2.0, 2.0], [1.0, 13.0], [2.0, 2.0], [1.0, 13.0], [2.0, 2.0], [2.0, 2.0], [13.0, 1.0], [13.0, 1.0], [13.0, 1.0]]","[[0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1]]",67e215a743fbe3e02d97b318,1,0.7,s5wx142o,79,x7xmwjlv,13.0,1.0,2.0,9.0
2162,7nbs6vjw,"[[0, 0], [0, 1], [1, 0], [0, 1], [1, 1], [0, 0], [0, 0], [1, 1], [0, 0], [1, 1], [0, 0], [1, 1], [1, 1], [0, 0], [1, 0], [1, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 0], [1, 0], [1, 1], [1, 0], [0, 1], [0, 0], [0, 1]]","[[7.0, 7.0], [21.0, 5.0], [5.0, 21.0], [21.0, 5.0], [15.0, 15.0], [7.0, 7.0], [7.0, 7.0], [15.0, 15.0], [7.0, 7.0], [15.0, 15.0], [7.0, 7.0], [15.0, 15.0], [15.0, 15.0], [7.0, 7.0], [5.0, 21.0], [5.0, 21.0], [7.0, 7.0], [7.0, 7.0], [21.0, 5.0], [21.0, 5.0], [7.0, 7.0], [5.0, 21.0], [15.0, 15.0], [5.0, 21.0], [21.0, 5.0], [7.0, 7.0], [21.0, 5.0]]","[[0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]",683b48ed60ef963a9ea034c7,1,0.95,50tsemd2,78,xpdm6lij,21.0,5.0,7.0,15.0
2163,7nc4m102,"[[1, 0], [1, 0], [0, 1]]","[[7.0, 17.0], [7.0, 17.0], [17.0, 7.0]]","[[1, 1], [1, 1], [1, 1]]",683f6616e0b70300f1416bc2,1,0.55,j4kr2yj2,85,n4h4zv44,17.0,7.0,12.0,15.0
2164,7nc4ykoc,"[[1, 1], [1, 1], [1, 0], [0, 0]]","[[20.0, 20.0], [20.0, 20.0], [6.0, 21.0], [16.0, 16.0]]","[[0, 0], [0, 0], [0, 0], [0, 0]]",67ad6f6e7d9fe7022e4f3e6b,2,0.6,9w3kmmw7,84,xshobe0v,21.0,6.0,16.0,20.0
2165,7ncgsoso,"[[0, 1]]","[[25.0, 6.0]]","[[1, 1]]",61587e7a4e62630d67cb21ac,2,0.5,ruor56g8,52,fi92mfip,25.0,6.0,19.0,20.0
