,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
28263,nxuv8qff,12,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,8.0,6693ce87e76d32ccf07fbcd8,0,0,12,56,tuf4a7eb,jsq4s0n9
28264,nxuv8qff,13,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,13,56,tuf4a7eb,jsq4s0n9
28265,nxuv8qff,14,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,2,14.0,6693ce87e76d32ccf07fbcd8,0,0,14,56,tuf4a7eb,jsq4s0n9
28266,nxuv8qff,15,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,8.0,6693ce87e76d32ccf07fbcd8,0,0,15,56,tuf4a7eb,jsq4s0n9
28267,nxuv8qff,16,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,16,56,tuf4a7eb,jsq4s0n9
28268,nxuv8qff,17,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,2,24.0,6693ce87e76d32ccf07fbcd8,0,0,17,56,tuf4a7eb,jsq4s0n9
28269,nxuv8qff,18,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,18,56,tuf4a7eb,jsq4s0n9
28270,nxuv8qff,19,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,8.0,6693ce87e76d32ccf07fbcd8,0,0,19,56,tuf4a7eb,jsq4s0n9
28271,nxuv8qff,20,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,8.0,6693ce87e76d32ccf07fbcd8,0,0,20,56,tuf4a7eb,jsq4s0n9
28272,nxuv8qff,21,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,2,14.0,6693ce87e76d32ccf07fbcd8,0,0,21,56,tuf4a7eb,jsq4s0n9
28273,nxuv8qff,22,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,2,14.0,6693ce87e76d32ccf07fbcd8,0,0,22,56,tuf4a7eb,jsq4s0n9
28274,nxuv8qff,23,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,23,56,tuf4a7eb,jsq4s0n9
28275,nxuv8qff,24,0.95,24.0,8.0,14.0,17.0,29,24.0,200,17,24,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,217,24,56,tuf4a7eb,jsq4s0n9
28276,o2tmh3mz,1,0.65,24.0,3.0,13.0,22.0,73,1.0,100,22,1,Cooperate,2,22.0,672f982b074b49039473060c,0,122,1,146,tuf4a7eb,fy4f8a4f
