,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
28169,jsq4s0n9,20,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,1,24.0,5eece6c66db5540c7b43648d,0,0,20,55,tuf4a7eb,nxuv8qff
28170,jsq4s0n9,21,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,1,14.0,5eece6c66db5540c7b43648d,0,0,21,55,tuf4a7eb,nxuv8qff
28171,jsq4s0n9,22,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,1,14.0,5eece6c66db5540c7b43648d,0,0,22,55,tuf4a7eb,nxuv8qff
28172,jsq4s0n9,23,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,1,17.0,5eece6c66db5540c7b43648d,0,0,23,55,tuf4a7eb,nxuv8qff
28173,jsq4s0n9,24,0.95,24.0,8.0,14.0,17.0,29,24.0,200,17,24,Cooperate,1,17.0,5eece6c66db5540c7b43648d,0,217,24,55,tuf4a7eb,nxuv8qff
28174,k2jfoaxw,1,0.5,23.0,3.0,11.0,22.0,34,1.0,100,23,1,Defect,2,23.0,67caae6f152a736ade05dacf,0,123,1,66,tuf4a7eb,pbe2v6tj
28175,klbr18h1,1,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Cooperate,1,1.0,66ae5b9b1f0070568886de66,0,0,1,78,tuf4a7eb,me7727k2
28176,klbr18h1,2,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,1,10.0,66ae5b9b1f0070568886de66,0,0,2,78,tuf4a7eb,me7727k2
28177,klbr18h1,3,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,1,10.0,66ae5b9b1f0070568886de66,0,0,3,78,tuf4a7eb,me7727k2
28178,klbr18h1,4,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,1,10.0,66ae5b9b1f0070568886de66,0,0,4,78,tuf4a7eb,me7727k2
28179,klbr18h1,5,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,1,10.0,66ae5b9b1f0070568886de66,0,0,5,78,tuf4a7eb,me7727k2
28180,klbr18h1,6,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,1,10.0,66ae5b9b1f0070568886de66,0,0,6,78,tuf4a7eb,me7727k2
28181,klbr18h1,7,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,1,10.0,66ae5b9b1f0070568886de66,0,0,7,78,tuf4a7eb,me7727k2
28182,klbr18h1,8,0.9,24.0,1.0,10.0,18.0,40,9.0,0,0,0,Defect,1,10.0,66ae5b9b1f0070568886de66,0,0,8,78,tuf4a7eb,me7727k2
28183,klbr18h1,9,0.9,24.0,1.0,10.0,18.0,40,9.0,100,10,9,Defect,1,10.0,66ae5b9b1f0070568886de66,0,110,9,78,tuf4a7eb,me7727k2
28184,la6x9f53,1,0.7,23.0,1.0,13.0,18.0,95,3.0,0,0,0,Cooperate,1,18.0,66f1c48727616cf7c9f2c84a,0,0,1,188,tuf4a7eb,d9sfvqgb
28185,la6x9f53,2,0.7,23.0,1.0,13.0,18.0,95,3.0,0,0,0,Defect,1,13.0,66f1c48727616cf7c9f2c84a,0,0,2,188,tuf4a7eb,d9sfvqgb
28186,la6x9f53,3,0.7,23.0,1.0,13.0,18.0,95,3.0,100,13,3,Defect,1,13.0,66f1c48727616cf7c9f2c84a,0,113,3,188,tuf4a7eb,d9sfvqgb
28187,lcvqnmu2,1,0.55,21.0,13.0,16.0,20.0,72,1.0,100,21,1,Defect,2,21.0,6759f1abce6d8511c99ca95f,1,121,1,143,tuf4a7eb,a28hydd7
28188,lh97zgcz,1,0.9,11.0,2.0,8.0,9.0,23,2.0,0,0,0,Defect,1,8.0,65d62be7972c1d2144b7d8b6,0,0,1,44,tuf4a7eb,9iki9s1y
